padress,pclass,plink,pname,pnum,preq,pres,ptime
深圳,产品/项目类,position_detail.php?id=40576&keywords=&tid=0&lid=0,18402-开放世界RPG游戏版本管理,2,本科以上学历，3年以上互联网行业营收或社区产品运营经验，音乐深度用户，深刻了解粉丝文化粉丝心态；有敏锐的市场嗅觉，能捕捉到社会热点潮流趋势并应用于运营工作中；良好的沟通能力、执行能力，强烈的市场导向和创新意识，能承担一定的压力，自我驱动追求更高的业务目标。,负责粉丝社区日常运营，为粉丝社区的收入目标负责；根据资源及明星热点制定运营计划，并负责落地执行，根据运营数据及时调整运营方案，对最终的收入转化负责；深入粉丝用户群进行市场分析，包括信息的收集、数据的分析，并提出合理化建议，为相关决策提供依据。,2019-01-12
深圳,产品/项目类,position_detail.php?id=40576&keywords=&tid=0&lid=0,18402-开放世界RPG游戏版本管理,2,1. 3年以上测试开发或者开发经验；2. 具有Android平台或者iOS平台开发经验；3. 了解web前后端开发；4. 具有音视频或数字信号处理相关知识的优先。,1. 负责音视频测试平台和工具的开发；2. 负责音视频项目的自动化测试。,2019-01-12
深圳,产品/项目类,position_detail.php?id=40576&keywords=&tid=0&lid=0,18402-开放世界RPG游戏版本管理,2,编程能力扎实，熟悉Java/C++中的一种，具有良好的数据结构、算法、操作系统等计算机基本知识；熟悉ElasticSearch/Lucene开源系统，有实际开发经验者优先；熟悉Hadoop、HBase、InfluxDB等开源系统，有云计算相关开发经验者优先；具有敏捷开发、完整产品生命周期开发者优先；学习能力强，善于独立思考，思维活跃，对技术有强烈激情。,Elasticsearch相关产品的新功能设计、开发、运营和维护工作；Elasticsearch内核代码的修改、特性增强等工作；跟进研究业界前沿技术，推动产品技术升级。,2019-01-12
深圳,产品/项目类,position_detail.php?id=40576&keywords=&tid=0&lid=0,18402-开放世界RPG游戏版本管理,2,"计算机相关专业本科（统招）以上学历，数学基础扎实, 学习能力强。熟悉openGL ES; 了解IOS/Android工程开发，有移动端图像算法开发经验；有相机类APP相关项目经验（美颜、滤镜等）优先；具有较强的沟通协作能力和团队合作意识，心态良好，能承受一定工作压力。",移动平台图像/视频算法实现、算法优化；移动平台图像/视频算法调校、工具链开发。,2019-01-12
上海,技术类,position_detail.php?id=40341&keywords=&tid=0&lid=0,25924-运营开发高级工程师（上海）,2,"5年以上系统建设，设计，架构经验；4年以上大数据系统开发，设计，架构经验；3年以上软件工程管理经验；熟悉商业智能系统，熟悉数据仓库，熟悉数据集市；熟悉大数据相关技术：Hadoop, Hive, HBase, ZooKeeper, Spark, Cassandra, MapReduce；并阅读过相关源码；管理过数据量上T级别，节点数300以上的大数据集群，开发，优化并管理过上T级别的大数据作业；熟悉常用机器学习算法，了解深度学习，强化学习，迁移学习算法，了解相关原理（FF, BF, SGD等）；熟悉各种抽样方法（分层，过抽样等），特征处理方法（缺失值处理，离散化等）；熟悉机器学习框架或工具（Spark MLLib，tensorflow， caffe等），了解源码并能应用项目；具备大数据云平台、计算存储平台、可视化开发平台经验，具备中大型成功项目经验优先；具备大规模分布式计算平台的使用和并行算法的开发经验，对大数据处理及应用有浓厚兴趣；具备较强的团队管理能力和沟通能力，思维活跃，前瞻学习能力强；了解软件项目管理、敏捷管理方法论，在中大型项目中有所实践。",负责大数据开发、数据挖掘、算法平台的技术架构及建设； 负责大数据实时检索分析平台的架构和建设；负责PCG业务算法推荐，实时流计算框架的研发优化；跟踪移动互联网开源大数据框架、新算法框架的技术选型及平台化预研及架构；负责业务挖掘、算法应用的平台支持；负责>5人的技术或FT团队管理。,2019-01-12
上海,技术类,position_detail.php?id=40341&keywords=&tid=0&lid=0,25924-运营开发高级工程师（上海）,2,有教育相关投放经验；本科以上学历，广告传播、市场营销、电子商务等相关专业为上； 有PC和移动端流量采购与运营经验，熟悉CPC\CPS\CPM\CPI等采购方式，熟悉包括且不限于广点通、微信广告的投放平台，有代理商、流量渠道管理经验； 有带团队的经验良好的沟通能力、强烈的责任心、抗压能力强，具有团队合作精神。,基于企鹅辅导目标市场的用户定位，制定PC和移动端流量获取与市场运营策略，管理流量和广告投放团队，对流量、用户数、ROI负责； 负责付费、免费渠道的流量拓展，包括且不仅限于SEO、SEM、affiliate、APP激活、再营销、BD合作等渠道和方式。,2019-01-12
上海,技术类,position_detail.php?id=40341&keywords=&tid=0&lid=0,25924-运营开发高级工程师（上海）,2,本科及以上学历； 2年以上体育类游戏策划经验（端游或手游）；热爱游戏，热爱篮球运动；英语具备读写能力，口语流利者优先。,负责篮球游戏外围系统的整体设计；负责篮球游戏核心玩法的优化；作为Feature owner 负责从系统需求，设计、跟进开发到验证的开发流程。,2019-01-12
上海,技术类,position_detail.php?id=40341&keywords=&tid=0&lid=0,25924-运营开发高级工程师（上海）,2,热爱体育、竞技类游戏，对该品类有深刻的认识，了解该品类游戏特色及用户需求；拥有丰富的市场接口经验，3年及以上互联网产品推广相关工作经验；热衷于互联网领域产品marketing，有知名互联网公司品牌管理或4A公司品牌策划经验者优先；具有出色的品牌意识和整合传播能力，良好的项目管理能力；良好的广告创意、文案策划、活动策划能力和相关工作经验；掌握一定的用户研究方法，具备一定的数据分析基础；工作主动积极，认真负责， 强烈的主人翁意识及团队合作能力，抗压能力强；有竞技游戏运营经验者优先，对社交类商业化设计或运营有研究者优先，对90/00后用户社交及消费行为有研究者优先。,负责体育品类、篮球游戏市场运营工作，对接市场部，跟进方案的落实与执行；根据项目特色与内部更多平台进行合作构思活动并跟进执行，对活动效果进行分析，并能利用平台资源优化提升活动效果；关注用户需求细节，根据运营需求，进行市场运营活动的规划和执行；运用数据分析工具对用户的新进渠道进行监控和分析，持续拓展与深度挖掘；负责内外部合作渠道的专项支持，包括：合作洽谈、合作执行与效果反馈；与多个内外部团队紧密合作，高效协调与整合资源驱动项目实施。,2019-01-12
上海,技术类,position_detail.php?id=40341&keywords=&tid=0&lid=0,25924-运营开发高级工程师（上海）,2,计算机相关专业本科及以上学历，2年以上开发工作经验；熟悉Unix/Linux操作系统；熟悉Unix/Linux操作系统下的C/C++/Python开发；熟悉TCP/IP网络编程，mysql数据库开发； 具备良好的分析解决问题能力，有良好的团队合作能力，善于沟通，热爱开发事业；有互联网运营平台开发和架构经验者优先；有音频、图片处理经验者优先；具有良好的学习能力，对新技术能深入学习，对业务能快速理解；具有良好的沟通能力和团队合作意识；具备较强的责任意识和项目执行力，能吃苦耐劳，对项目和问题能一跟到底。,音乐业务运营支撑系统（主要包括发布平台、监控平台、运营自动化平台）的设计、开发工作；负责系统运营，确保系统7*24提供服务。,2019-01-12
上海,技术类,position_detail.php?id=40341&keywords=&tid=0&lid=0,25924-运营开发高级工程师（上海）,2,美术功底扎实，塑造能力，色彩感觉良好；有优秀的审美能力，视野广阔，熟知各种风格的美术表现要素；设计风格灵活，设计思维、想象力丰富，有很强的细致表现能力；具备概念设计的能力和经验，能比较快的把控风格，准确传达视觉理念；对动漫有高度热情，手绘能力佳且二次元资深爱好者优先考虑；应聘简历必附作品。热爱游戏事业，注重用户体验；善于挖掘产品的独特性和创新性，追求细节和崇尚匠人精神。,负责二次元角色的概念设计，立绘宣传图绘制；熟悉、精通二次元风格，日系风格的立绘、概念；要较强的美术功底，二次元风格把控强，人体结构能力扎实。,2019-01-12
深圳,产品/项目类,position_detail.php?id=41096&keywords=&tid=0&lid=0,23295-互娱移动游戏社区产品经理（深圳）,2,本科及以上学历，2年以上工作经验；具备渠道管理、销售管理经验优先；善于数据分析，基于数据提炼总结，对效果广告及商业化有一定见解；积极主动，能承受一定工作压力，沟通能力与执行力强。,应用宝/天天快报代理商基础运营管理；基于业务需求，制定代理商驱动策略，以项目管理方式进行监控、执行和考核管理。联动行业商务及运营团队，进行通过政策制定驱动代理商完成行业重点客户拓展及行业渗透。完善代理商培训体系，结合业务发展需要，进行线下沙龙及市场宣讲活动策划和执行。,2019-01-12
深圳,产品/项目类,position_detail.php?id=41096&keywords=&tid=0&lid=0,23295-互娱移动游戏社区产品经理（深圳）,2,1、丰富的Linux/Windows系统维护、优化经验，熟悉系统crash的处理方法； 2、熟悉TCP/IP协议及有丰富的虚拟网络排错经验； 3、熟悉常见数据库（MySQL、SQLServer、PostgreSQL）的排错、调优。 4、熟悉的常见行业的应用架构且有实际经验，如大型电子商务网站架构、多媒体直播平台架构等； 5、熟练使用Shell/Perl/Python中一种及以上的脚本语言编程，或熟练使用PHP/Java/ASP中一种及以上的开发语言编程； 6、至少有1个熟悉的常见应用软件的使用、优化及排错方法，如Nginx、Apache、Tomcat等； 7、熟悉hadoop的生态体系和架构，熟悉MR或Hive的任务优化方法，有Spark的使用和编程经验的更优； 8、熟悉对象存储COS，内容分发网络CDN。 9、具有较强的分析问题和快速解决问题的能力，善于学习新技术； 10、良好的文档撰写习惯和团队合作意识； 11、抗压能力强，有强烈的责任心； 12、良好的沟通能力和客户服务意识； 13、英语读写或听说流利者优先。,1、提供相关云产品的售后技术支持，确保客户业务正常运行； 2、解决排除用户网络、服务器、存储、数据库等问题及故障；制定相关的技术实施方案，并在实施过程中提供技术支持； 3、负责对售后技术事件进行分析和总结，出具技术方案，并推动相关团队解决； 4、垂直行业和企业级客户技术支持； 5、编写相关产品问题和技术支持分析的报告，整理技术文档； 6、根据售后问题能提出建设性意见，并能影响相关部门及时优化。,2019-01-12
