padress,pclass,plink,pname,pnum,preq,pres,ptime
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,负责腾讯云计算在“互联网+”领域的商务工作；负责大客户关系管理、合作伙伴关系管理和区域市场维护；聚焦在互联网/视频/金融/电商等特定领域，制定并推动区域/行业/重点客户的市场拓展计划的执行，以达成公司制定的任务目标和KPI考核目标；整合公司内部资源，提供最佳互联网+行业解决方案;英语可以作为工作语言,本科及以上学历，毕业后有IT项目开发集成经验者优先；5年以上相关工作经验，对传统IT有深刻的认识，对互联网+有一定的了解，熟悉云计算、大数据分析和移动互联网，对新技术、新商业模式有激情；有较强的分析能力和创新精神，有行业经验者优先；有较强的沟通协调能力，具备良好的团队合作精神，执行能力强，勇于承担高强度的工作压力；,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,拥有实际的游戏开发项目经验；对各种题材与文化都有深度涉猎，无论是科幻奇幻还是武侠或现代题材都能有所创作；游戏有深刻的理解与独到的见解，能够明白一款好游戏是如何从各个层面上打磨并诞生的；拥有世界观撰写与角色设定的经验；拥有较强的原创能力，能够自主的发想游戏创意；对武侠题材有专精者优先；有编剧能力者优先。,负责新游戏IP内容力的打造与原创衍生作品的产出；分析游戏产品并提供建设性意见；修改，撰写和搭建游戏世界观；创作漫画，视频等衍生原创作品。,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,3年以上互联网数据类产品经理工作经验，计算机或相关专业本科以上学历； 拥有云大数据相关产品、数据治理相关产品经验优先； 具有独立产品管理经验，能熟练使用Axure、Word、Excel、PPT等工具； 了解技术语言，具备优秀的想象力和逻辑思维能力； 积极乐观，沟通表达优秀，执行力强。,负责腾讯云智慧教育大数据中心产品功能策划、文档输出、客户宣讲； 负责用户调研、需求分析、数据分析； 负责开发、测试对接，版本控制等工作。,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,大学本科以上学历，音乐，舞蹈类视频内容运营相关工作经验；对PGC及MCN业务了解，并具有一定的行业资源；对数据敏感，能够做有效的提炼分析和优化方案，并有高效的执行推动能力；有脑洞、有创意，对从事相关品类工作能够乐在其中。,1、拓展音乐，舞蹈品类优质内容，包括个人、媒体、机构等；2、负责音乐，舞蹈品类的日常运营工作，包括制定运营方向、策略，根据运营目标制定执行方案；3、提高音乐，舞蹈品类内容活跃度，掌握行业热点，引导用户生产。,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,1.热爱游戏，1年以上游戏玩法/关卡策划经验，MMO或者主机工作经验优先；2.善于思考，有良好的创造能力，能够汲取灵感运用于游戏设计3.良好的逻辑能力，书面和口头表达能力，善于把创意变为可执行的方案4.具备抗压能力，良好的沟通能力，有很好的合作意识和责任心，可以与各个流程上的开发人员实现良好的合作5.丰富的MMO或主机游戏经验优先，有编程经验或理工科教育背景优先,1.MMORPG游戏设计，负责游戏中PVP、PVE体验的玩法设计，以及具体关卡/怪物AI制作开发；2.负责玩法相关的资源制作跟进和开发逻辑实现，并对玩法的最终玩家体验负责；3.上线后进行分析反馈，迭代优化玩家体验,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,1、本科及以上学历，2年以上工作经验，对调研/咨询/研究行业的项目有理解更佳；2、主动性强，擅于沟通，兼具亲和力和号召力，具有系统性的规划和思考能力，优秀的推动力和较强的统筹能力；3、能够与多个团队良好合作，能进行多线程工作管理，遇到问题积极寻找解决方案，工作上能不断自我挑战和提升；4、热爱互联网，热爱游戏，懂研究，熟悉产品策划与运营者优先；,1、部门内外资源管理：负责部门内包括研究费用等的申报，日常管理与统筹，同时协助对接外部研究CP管理，拓展新的调研渠道和方法；2、外包人员能力建设及考核管理：问卷录入外包人员，用户招募外包人员等的招聘，考核，培训，日常管理等；3、部门运营数据&流程规范：部门关键运营数据的梳理，汇报，协助制定相关的管理流程和规范，并监督执行，反馈执行情况；4、内部项目管理系统的管理，新需求收集和迭代优化。,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,热爱游戏和游戏研发，对游戏行业具备广泛知识；为人坦诚，理性，务实，具有良好的沟通能力和沟通技巧；具有良好的逻辑思考分析能力；熟练掌握各种相关软件和工具，如：Office系列含Project，Visio；Adobe系列如Photoshop，Illustrator；Jira；Perforce；Mac系统的iWork系列；Omni系列等等具有至少3个以上上线游戏产品的完整研发或发行经验担任过项目经理，研发制作人，产品经理，或发行制作人及以上的经验，有跨国跨文化团队管理经验尤佳深度理解游戏产品研发的客观规律；深度理解游戏研发团队的架构和流程；深度理解游戏产品发行和运营的方法；深度理解瀑布式和敏捷式项目管理方法；熟悉欧美市场游戏研发和发行运营方法，有实际执行经验的尤佳；具有中型或大型游戏公司的工作经验，曾经独立负责多部门合作完成目标；深度理解公司运作中各部门的责任和定位，能够优化相关合作流程以提高合作效率；具有良好的规划和总结汇报能力；熟练掌握英语或日语，听读说写流利。,参与整包项目筛选和启动的决策，评估整包项目提案，对提案内容及团队素质提出专业客观意见；被任命监管指定整包项目，阶段性常驻研发团队，与项目核心团队紧密沟通，确保项目方向，品质，进度可控；与公司各部门沟通合作，确保与自己负责的整包项目相关的信息沟通顺畅，包括且不限于：NEXT Studios对项目内容和品质的宏观管理，发行部门需求和用户市场反馈，合同及财务相关信息等；管理优化相关部门对项目的意见和需求，根据项目阶段梳理信息优先级，及时并准确传达给团队，同时管理信息反馈，确保各方保持共识；及时发现项目或团队可能出现的风险并提出预警，协调各部门资源及时启动风险控制方案。,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,本科及以上学历；5年及以上相关工作经验；认同公司企业文化，敬业和自我激励；较好系统性思维、善于分析、提炼总结，及快速学习能力；良好的口头和书面表达能力、沟通协调和组织能力；客户导向强，良好的团队合作意识和能力，同时具备较强的推动及执行能力；具有组织有效性评估诊断、组织设计及组织变革、集团管控等相关专业知识及项目运作经验者优先；兼具知名人力资源咨询公司工作经验及企业组织发展工作经验者优先。,组织有效性相关产品研发及专业服务，包括：参与或主导在组织有效性评估、组织诊断、组织设计等方面相关工具产品的研发及推广；根据公司发展的需要，针对行业标杆企业做有针对性的组织研究，为公司未来的组织发展和优化提供有价值的参考或根据需要给出专业的建议，同时，配合组织发展总监结合腾讯集团内部不同的事业群、线和部门，梳理和总结组织设计的最佳实践，为公司内部组织优化提供参考；参与及协助公司级、事业群级组织有效性诊断和并提供有效的解决方案，配合事业群、线或重点业务部门的发展需要，根据项目的规模和复杂性，作为Co-PM或核心项目成员主导或参与到组织有效性诊断的项目中，为内部客户提供专业的解决方案；组织设计和优化赋能：协助对项目、管理实践等进行案例总结及做好知识管理、资源库的建立；设计及开发各种形式的针对HRD、OD、BP等同事的组织评估、设计、优化工具及方法等相关专业知识和技术的赋能。,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,本科及以上学历，有CDN，云计算，人工智能，大数据等销售经验者优先； 要求对智能终端行业有一定的了解，熟悉云计算、大数据分析和移动互联网，对新技术、新商业模式有激情； 有较强的分析能力和创新精神，有行业经验者优先； 有较强的沟通协调能力，具备良好的团队合作精神，执行能力强，勇于承担高强度的工作压力； 能适应经常性出差。,负责腾讯云计算在“智能终端设”领域的商务拓展工作； 聚焦手机等智能终端厂商的开拓及维护； 制定并推动重点客户的市场拓展计划的执行，以达成公司制定的任务目标和KPI考核目标。,2019-01-12
上海,市场类,position_detail.php?id=46955&keywords=&tid=0&lid=0,CSIG16-车联网商务经理（4S店拓展）,1,"本科及以上学历，计算机或相关专业，3年以上Linux运维工作经验；熟练使用Bash、Python等脚本语言；以下基本能力至少具备1种或以上：a)熟悉Linux内核，对内核网络、存储、文件系统、内存、调度器，Cgroup等模块之一有过相关实践；对KVM/Xen等虚拟化技术有过深入了解；了解KVM CPU，内存，IO的处理流程；熟练使用Linux底层工具链，了解其原理，熟悉某一CPU体系结构，熟悉底层性能调优，对网络/存储等协议栈以及协议精通；b)精通STP、TCP/IP、OSPF、BGP、ISIS、MPLS VPN／TE等协议，熟悉大规模IDC及骨干网络架构，熟悉全球主流运营商网络结构；熟悉Cisco、Juniper、H3C等主流网络厂商产品技术及产品架构；熟悉路由器/交换机工作原理，熟悉NAT、VPN、负载均衡、SDN、NFV、overlay等网络技术，并有较强的故障分析排查能力和丰富的处理经验；c)可对Linux下DB实例进行包括不限于DB及OS Kernel等软硬件相关参数各种调优，精通数据库配置、备份、优化、监控；熟练使用 LINUX，能进行PL/SQL, shell 或者 python 编程, 熟悉存储及网络相关知识；d)熟悉分布式系统理论，有大规模分布式存储系统架构经验；熟悉业界分布式存储，包括HDFS/Ceph/InfluxDB/Druid/ElasticSearch等；e)有运营过rabbitmq，kafka等相关系统2年以上经验；有微服务相关项目经验，对serverless相关有较深了解；熟悉AWS lambda、Google Function、Azure Function等产品者优先；f)熟悉大型Web系统架构，以及相关应用的部署调优，包括：Web服务器、负载均衡、消息队列、数据库、高可用解决方案等；熟悉Docker容器的原理及相关技术，深入了解K8S等容器集群管理方案；熟悉常见的监控系统，对WAF，DDOS有一定的认识；有较好的表达和沟通能力，和逻辑思考能力，能够现场解决客户的问题，并能够承受一线客户的压力。",负责云相关产品的发布变更、故障处理等日常运维工作，保障系统7*24小时稳定运行；负责应急预案、业务容灾和故障恢复策略方案的制定与实施；深入理解产品的架构， 发现并解决故障隐患及性能瓶颈，参与架构优化、容灾优化、性能优化等项目；负责各个项目的运维问题跟踪与管理，推进运维自动化工具开发，提高运维效率和质量；负责编写产品运维手册，对接合作伙伴的沟通和培训，培养出高质量的运维合作伙伴团队；指导区域交付团队进行项目交付，负责交付过程中的联调和问题排查。,2019-01-12
上海,市场类,position_detail.php?id=46955&keywords=&tid=0&lid=0,CSIG16-车联网商务经理（4S店拓展）,1,"本科及以上学历，计算机或相关专业，3年以上Linux运维工作经验；熟练使用Bash、Python等脚本语言；以下基本能力至少具备1种或以上：a)熟悉Linux内核，对内核网络、存储、文件系统、内存、调度器，Cgroup等模块之一有过相关实践；对KVM/Xen等虚拟化技术有过深入了解；了解KVM CPU，内存，IO的处理流程；熟练使用Linux底层工具链，了解其原理，熟悉某一CPU体系结构，熟悉底层性能调优，对网络/存储等协议栈以及协议精通；b)精通STP、TCP/IP、OSPF、BGP、ISIS、MPLS VPN／TE等协议，熟悉大规模IDC及骨干网络架构，熟悉全球主流运营商网络结构；熟悉Cisco、Juniper、H3C等主流网络厂商产品技术及产品架构；熟悉路由器/交换机工作原理，熟悉NAT、VPN、负载均衡、SDN、NFV、overlay等网络技术，并有较强的故障分析排查能力和丰富的处理经验；c)可对Linux下DB实例进行包括不限于DB及OS Kernel等软硬件相关参数各种调优，精通数据库配置、备份、优化、监控；熟练使用 LINUX，能进行PL/SQL, shell 或者 python 编程, 熟悉存储及网络相关知识；d)熟悉分布式系统理论，有大规模分布式存储系统架构经验；熟悉业界分布式存储，包括HDFS/Ceph/InfluxDB/Druid/ElasticSearch等；e)有运营过rabbitmq，kafka等相关系统2年以上经验；有微服务相关项目经验，对serverless相关有较深了解；熟悉AWS lambda、Google Function、Azure Function等产品者优先；f)熟悉大型Web系统架构，以及相关应用的部署调优，包括：Web服务器、负载均衡、消息队列、数据库、高可用解决方案等；熟悉Docker容器的原理及相关技术，深入了解K8S等容器集群管理方案；熟悉常见的监控系统，对WAF，DDOS有一定的认识；有较好的表达和沟通能力，和逻辑思考能力，能够现场解决客户的问题，并能够承受一线客户的压力。",负责云相关产品的发布变更、故障处理等日常运维工作，保障系统7*24小时稳定运行；负责应急预案、业务容灾和故障恢复策略方案的制定与实施；深入理解产品的架构， 发现并解决故障隐患及性能瓶颈，参与架构优化、容灾优化、性能优化等项目；负责各个项目的运维问题跟踪与管理，推进运维自动化工具开发，提高运维效率和质量；负责编写产品运维手册，对接合作伙伴的沟通和培训，培养出高质量的运维合作伙伴团队；指导区域交付团队进行项目交付，负责交付过程中的联调和问题排查。,2019-01-12
上海,市场类,position_detail.php?id=46955&keywords=&tid=0&lid=0,CSIG16-车联网商务经理（4S店拓展）,1,本科及以上学历，计算机或相关专业；具备5年以上互联网技术相关领域的研发或项目管理从业经验，3年以上大型技术类项目的研发、实施或交付管理经验；掌握IT工程业务运作模式和工程建设规范，了解合同、分包、采购、商务等基础知识； 掌握一定的质量工程方法能力，具备良好的质量意识，善于推动跨部门复杂项目的实施； 工作积极主动，善于学习，总结能力好，具备良好的沟通能力和影响力； 有互联网公司任职经验，且有云计算，大数据交付项目等背景经验优先考虑；计算机或通信相关专业，有交付或运维技术经验优先；有PMP证书或高级项目经理证书优先考虑。,负责云项目交付过程中的项目管理，包括项目交付前期评审、交付资源准备、实施阶段监控项目进度、聚焦客户和其他重要干系人的需求与问题推进解决等全方位管理，对最终交付成功和客户满意负责； 负责识别交付风险，有效协同解决方案、产品和技术团队，不断优化交付流程、完善问题处理机制，持续降低大数据产品交付风险和成本； 负责建立整体交付效率评估体系，量化各环节团队的交付能力和产出效率，定位和识别低效瓶颈，推动整个链路的优化和量化考核；负责对区域交付中心的项目管理工程师进行培训赋能和工作协同。,2019-01-12
上海,市场类,position_detail.php?id=46955&keywords=&tid=0&lid=0,CSIG16-车联网商务经理（4S店拓展）,1,本科及以上学历，计算机或相关专业；具备5年以上互联网技术相关领域的研发或项目管理从业经验，3年以上大型技术类项目的研发、实施或交付管理经验；掌握IT工程业务运作模式和工程建设规范，了解合同、分包、采购、商务等基础知识； 掌握一定的质量工程方法能力，具备良好的质量意识，善于推动跨部门复杂项目的实施； 工作积极主动，善于学习，总结能力好，具备良好的沟通能力和影响力； 有互联网公司任职经验，且有云计算，大数据交付项目等背景经验优先考虑；计算机或通信相关专业，有交付或运维技术经验优先；有PMP证书或高级项目经理证书优先考虑。,负责云项目交付过程中的项目管理，包括项目交付前期评审、交付资源准备、实施阶段监控项目进度、聚焦客户和其他重要干系人的需求与问题推进解决等全方位管理，对最终交付成功和客户满意负责； 负责识别交付风险，有效协同解决方案、产品和技术团队，不断优化交付流程、完善问题处理机制，持续降低大数据产品交付风险和成本； 负责建立整体交付效率评估体系，量化各环节团队的交付能力和产出效率，定位和识别低效瓶颈，推动整个链路的优化和量化考核；负责对区域交付中心的项目管理工程师进行培训赋能和工作协同。,2019-01-12
上海,市场类,position_detail.php?id=46955&keywords=&tid=0&lid=0,CSIG16-车联网商务经理（4S店拓展）,1,本科及以上学历，计算机或相关专业；具备5年以上互联网技术相关领域的研发或项目管理从业经验，3年以上大型技术类项目的研发、实施或交付管理经验；掌握IT工程业务运作模式和工程建设规范，了解合同、分包、采购、商务等基础知识； 掌握一定的质量工程方法能力，具备良好的质量意识，善于推动跨部门复杂项目的实施； 工作积极主动，善于学习，总结能力好，具备良好的沟通能力和影响力； 有互联网公司任职经验，且有云计算，大数据交付项目等背景经验优先考虑；计算机或通信相关专业，有交付或运维技术经验优先；有PMP证书或高级项目经理证书优先考虑。,负责云项目交付过程中的项目管理，包括项目交付前期评审、交付资源准备、实施阶段监控项目进度、聚焦客户和其他重要干系人的需求与问题推进解决等全方位管理，对最终交付成功和客户满意负责； 负责识别交付风险，有效协同解决方案、产品和技术团队，不断优化交付流程、完善问题处理机制，持续降低大数据产品交付风险和成本； 负责建立整体交付效率评估体系，量化各环节团队的交付能力和产出效率，定位和识别低效瓶颈，推动整个链路的优化和量化考核；负责对区域交付中心的项目管理工程师进行培训赋能和工作协同。,2019-01-12
深圳,职能类,position_detail.php?id=46994&keywords=&tid=0&lid=0,26833-组织发展经理（深圳）,4,"1、全日制大学计算机相关专业硕士及以上学历，3年以上互联网或大数据相关工作经验；2、扎实的计算机基础知识，良好的算法和编程功底，认真细致，对数据敏感，有团队合作精神；3、熟悉hadoop生态，熟练掌握hive, spark, kafka，有多维分析工具如druid等应用经验者优先；4、熟悉java，熟练使用python, shell等脚本语言，熟悉mysql, redis等DB，有BI系统开发经验者优先；5、良好的数学和统计学基础，了解机器学习常用算法，具备特征分析等方面的基础知识，有用户画像开发经验者优先。",1、负责腾讯新闻以下数据平台的开发与维护：2、基础数据仓库，投放与运营分析平台，BI与报表系统，实时数据监控系统，AB实验平台，用户画像平台。,2019-01-12
深圳,技术类,position_detail.php?id=46980&keywords=&tid=0&lid=0,15851-游戏引擎开发工程师（深圳）,1,"5年以上游戏开发经验, 3年以上3D引擎开发经验，有Unity3D或Unreal Engine经验者优先；熟练掌握引擎架构，图形渲染，资源管理，场景管理，导航寻路，动画，物理等相关知识；精通C++，数据结构和算法，关注代码质量和性能优化，有公共组件开发经验者优先；良好的英语读写能力，能经常阅读Siggraph和GDC等大会上的最新技术文章；有责任心，良好的团队合作能力和沟通能力。",1、引擎技术选型，包括Unity5和UE4，涉及图形渲染，工具链，高中低端机型适配，美术制作规范等； 2、引擎扩展开发，包括Unity5和UE4，涉及引擎架构，图形渲染，资源管理，场景管理，导航寻路，动画，物理，UI，脚本系统等；3、引擎跨平台开发，包括Unity5和UE4，涉及端游，手游，主机游戏。,2019-01-12
深圳,技术类,position_detail.php?id=46980&keywords=&tid=0&lid=0,15851-游戏引擎开发工程师（深圳）,1,1. 5年以上游戏开发经验，3年以上游戏AI开发经验；2. 至少做过一款AAA级游戏，有console开发经验者优先；3. 熟悉现代游戏AI系统及架构，熟悉寻路，移动，动画，碰撞，物理系统；4. 熟练掌握分层状态机和行为树， 有GOAP和HTN开发经验者优先；5. 精通C++，数据结构和算法，关注代码质量和性能优化；6. 有良好的英语读写能力，能经常阅读GDC，IEEE CIG等大会上的最新AI技术文章；7. 有责任心，良好的团队合作能力和沟通能力。,1. 为多种类型的游戏（体育运动，FPS，RPG，沙盒）设计并实现高质量的AI系统;2. 过程生成(Procedural Generation)游戏的设计及开发；,2019-01-12
深圳,技术类,position_detail.php?id=46980&keywords=&tid=0&lid=0,15851-游戏引擎开发工程师（深圳）,1,1. 棋牌类游戏的AI设计（包括围棋，德州扑克外的其他棋牌类游戏）；2. 体育竞技类游戏的AI设计（足球，篮球，橄榄球，冰球等），为走位， 传球， 战术等多个子系统选择合适的技术方案（包括深度神经网络， Multi Agent等）；3. 策略竞技类游戏的AI设计（英雄联盟， 星级争霸等）；4. 游戏中智能语音机器人的设计，在传统语音机器人的基础上，串联其他模块，比如诗歌， 成语，俗语，歇后语，名言警句，二次元，方言等；5. 游戏中的增强现实（AR）开发，包括场景检测， 物体识别， 人脸识别等。,1. 负责机器学习尤其是深度强化学习前沿问题的探索与研究，结合游戏中的AI应用场景，提供全面的技术解决方案；2. 对计算机视觉、语音识别、自然语言处理等领域提供模型支持；,2019-01-12
深圳,技术类,position_detail.php?id=46980&keywords=&tid=0&lid=0,15851-游戏引擎开发工程师（深圳）,1,3年以上GPU驱动开发经验，熟悉GPU性能和兼容性问题；熟悉GPU硬件架构， 熟悉管线，缓存，延时，吞吐量等设计；良好的编程基础，掌握C/C++，汇编（ARM/X86）， 有SSE/NEON/GPGPU开发经验优先；有D3D/OpenGL(ES)/OpenCL/CUDA/Vulkan编译器开发经验者优先；有责任心，良好的团队合作能力和沟通能力。,基于GPU体系架构，为游戏实时渲染特性提供解决方案， 提升游戏面面的品质；针对不同的GPU型号，对游戏引擎进行深度优化开发， 提升游戏的运行效率；针对不同的GPU型号，对游戏引擎做兼容性开发， 提升游戏运行的稳定性。,2019-01-12
深圳,技术类,position_detail.php?id=46980&keywords=&tid=0&lid=0,15851-游戏引擎开发工程师（深圳）,1,"计算机相关专业本科及以上学历，2年及以上前端开发工作经验；精通javascript、html、html5及css，对主流前端开发框架有深入的了解，熟练使用vue做组件化开发，熟悉微信小程序开发。有移动端微信公众号或手Q应用开发经验者优先；掌握HTTP协议相关知识，熟悉apache，nginx，至少了解java、php、nodejs等一门服务端开发语言，具有良好的代码编写习惯、有相关工作和实践经验者优先；了解web前端的安全风险和对策，熟悉站点性能优化的方法并且在实际项目中有站点优化的实战经验；具有良好的分析和解决问题的能力，能独立承担任务、有系统项目进度把控能力；具有高度的责任感，良好的沟通技巧和团队合作能力，正直、进取、好学，热爱互联网开发工作；熟悉canvas、svg、webGL、css3,有相关工作和实践经历，能够熟练利用相关技术实现创意动效者优先。",主要负责支持各类支付及互联网金融应用及金融创新业务的web前端开发工作；帮助业务持续优化业务前端页面的性能和体验，特别是移动端web页面在不同网络环境、终端、浏览器环境的优化工作；帮助团队优化前端技术框架和工具，持续提升前端开发的效率和质量；,2019-01-12
深圳,技术类,position_detail.php?id=46980&keywords=&tid=0&lid=0,15851-游戏引擎开发工程师（深圳）,1,1、大学本科及以上学历2、3年以上工作经验，具备不错的文字表达能力，专业不限。3、对新鲜事务敏感，能捕捉到玩家不错的创意点；4、沟通能力强，能与玩家打成一片，并且独立输出作品；5、有一定的推广和数据监控能力，能独立采集和分析数据。,1、根据游戏版本进度，配合输出版本内容，满足产品预热的需求；2、根据版本的多样性，输出样本式的玩法并给玩家指引；3、负责官方多个渠道的游戏内容管理和输出，把握整体风格；4、负责线上用户的关系维护和管理，为用户输出的内容负责；5、能够根据不同的用户层次输出不同品质的内容；,2019-01-12
深圳,技术类,position_detail.php?id=46980&keywords=&tid=0&lid=0,15851-游戏引擎开发工程师（深圳）,1,2年以上iOS项目开发经验；熟练掌握 Objective-C，C/C++；熟悉常用数据结构和算法，设计模式；熟悉iOS线程同步、内存管理、文件系统，网络编程；熟练使用Xcode，具备较好的iOS程序调试能力；熟悉iOS平台性能优化方法；良好的分析解决问题能力与沟通协作能力。,负责手游基础模块及功能模块的设计及开发；负责手游针对iOS底层的性能优化及问题定位；负责手游工具链的开发。,2019-01-12
深圳,市场类,position_detail.php?id=47007&keywords=&tid=0&lid=0,23295-互娱流程管理经理,1,1、企业管理、经济、金融等专业本科及以上学历；2、2年以上流程管理、管理咨询等方面工作经验；3、有多个业务流程咨询项目类经验；4、具有较强的学习和分析能力，能快速熟悉业务，诊断并优化流程；5、具备较强的项目管理能力、执行力和跨部门沟通协作能力；6、善于数据挖掘，具有系统性思考、分析、解决问题的能力。,1、以业务为对象，以流程为基线，为市场体系现有流程提供咨询和梳理，诊断和优化，提高流程运转效率；2、建立部门间流程协调与优化体系，推动标准化流程的实施运作，并协调解决流程执行中的问题；3、推动流程电子化线上化，通过信息化产品实施业务流程，能结合系统使用的反馈和分析，不断优化流程，实现流程的有效落地及细化；4、为流程管理提供工具、方法论和知识体系支撑，完善部门流程管理体系。,2019-01-12
深圳,市场类,position_detail.php?id=47007&keywords=&tid=0&lid=0,23295-互娱流程管理经理,1,本科以上学历，计算机或相关专业，3年以上Android平台开发经验；熟悉Android平台软件开发技术，了解Android开发平台、Framework和底层设计原理；扎实的Java/C++编程能力，精通常用数据结构与算法，熟悉TCP/HTTP协议具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力；有良好的学习能力和强烈的进取心和创新意识；具备较强的团队精神、良好的表达和沟通能力，工作认真负责,负责Android平台浏览器软件设计与开发；根据项目任务计划完成软件高质量编码和测试工作；持续优化Android平台软件产品，提升质量和性能。,2019-01-12
深圳,市场类,position_detail.php?id=47007&keywords=&tid=0&lid=0,23295-互娱流程管理经理,1,3年以上前端开发经验，本科及以上学历，计算机相关专业；扎实的html、css、js基本功，熟悉HTTP、HTTPS，深入了解浏览器原理；对常见Web性能优化，安全问题有一定认识；在react、vue、angular中至少熟悉一种前端框架，并具备一定的后台开发能力。实战经验丰富，主力开发过大量的前端项目。对交互、体验有一定经验和心得，具备架构理解、设计能力；对前端工程有深入思考，具有良好的沟通能力和团队合作精神。,负责浏览器业务的web前端开发工作，包括制定符合业务发展需要的前端方案；搭建前端架构，node接入层服务以及核心代码实现；配合服务端开发共同完成项目开发任务并落地实施。,2019-01-12
深圳,市场类,position_detail.php?id=47007&keywords=&tid=0&lid=0,23295-互娱流程管理经理,1,至少5年电视类媒体工作经验，央视优先；拥有丰富的电视类媒体资源，以及专业的节目策划和传播能力；拥有出色的活动和新媒体互动项目策划和执行能力；拥有出色的沟通能力，善于跨团队协作。,负责对接中央电视台等电视类媒体；配合公司传播战略和活动，推动集团及公司各业务和产品的正面传播；基于上述媒体资源主动策划、执行大型传播项目，包括新媒体互动合作。,2019-01-12
深圳,市场类,position_detail.php?id=47007&keywords=&tid=0&lid=0,23295-互娱流程管理经理,1,本科以上学历，IP合作相关工作经验优先,负责对腾讯视频自有IP项目进行梳理，建立和完善IP授权标准和合作规则，形成IP授权营销整合解决方案，并推动完成IP售卖和落地执行,2019-01-12
深圳,市场类,position_detail.php?id=47007&keywords=&tid=0&lid=0,23295-互娱流程管理经理,1,全日制本科及以上学历，3年及以上相关工作经验；熟悉Linux、c/c++后台服务编程，有良好的系统设计能力；熟悉Linux操作系统，至少熟练使用一门脚本语言；熟悉TCP/IP、HTTP等协议，有socket网络编程开发经验；具备良好的学习能力和分析解决问题能力，责任心强；有高性能服务项目开发经验，或海量数据处理经验者优先；,负责Android浏览器平台云服务的设计和研发工作；负责Android浏览器后台运营系统的研发和优化工作；负责Android浏览器后台架构和整体框架设计工作；,2019-01-12
深圳,市场类,position_detail.php?id=47007&keywords=&tid=0&lid=0,23295-互娱流程管理经理,1,3年以上工作经验，官网或社区（BBS、公众号、贴吧、助手APP等社区）运营经验优先； 具有良好的运营意识，热爱游戏对RPG品类游戏有较多涉猎，较强的数据分析能力； 学习和协作能力强，善于沟通和协调资源，具备跨部门合作经历；具有传播、口碑舆情管理经验优先；工作执行力强，善于沟通和表达，具有团队精神，能够承受较强工作压力；,1：负责游戏社区生态的搭建工作，根据游戏所处的生命周期，制定针对性社区系统搭建和社区运营策略； 2：负责游戏社区内容的传播策略制定、能够独立制定宣发计划，对公会、网红、UGC等进行管理和维护，整合各方资源优化，着重辅助运营项目组建设头部产品社区；3：负责分析社区用户需求，有针对性的提升游戏与社区用户活跃及用户留存，对运营数据指标负责，通过运营指标监测分析以及用户反馈不断优化产品及运营方案的执行；4：组织核心玩家团队如写手团、监控团等的组建和管理，并监督相关工作执行。,2019-01-12
深圳,市场类,position_detail.php?id=47007&keywords=&tid=0&lid=0,23295-互娱流程管理经理,1,学历本科及以上，萌宠品类重度用户； 对内容有较高的敏感度，能够快速发现潜在爆火的点和创新形态； 有内容活动策划经验，能推进活动落地并产生有价值内容； 兴趣广泛，脑洞大，对当下社会热点及流行趋势非常了解； 团队协作能力强，有较强的推动力；抗压能力强。,负责萌宠垂类内容建设，制定内容标准，搭建生态； 负责萌宠拓展、运营及渠道输出，形成内容管理和运营策略； 对萌宠领域及短视频行业有深度了解及认知，理解用户需求，策划内容相关类活动，引导用户生产。,2019-01-12
深圳,设计类,position_detail.php?id=46911&keywords=&tid=0&lid=0,15605-手游2D场景原画设计师（深圳）,1,大专以上学历，3年以上游戏相关工作经验；态度严谨，工作认真负责，有团队精神，沟通能力配合工作能力强，对游戏角色设计有热情；美术功底扎实，具备良好的绘画技巧，对结构、线条、色彩的把控较强；视野广阔，有一定高度的审美水平；设计风格较灵活，擅长多种风格的场景设计；有与时俱进的设计思维，丰富的想象力和创新能力，对自己的作品要求高；具备良好的沟通能力，善于思考，思维灵活，富有创意，乐于助人；热爱游戏，关注游戏体验，结合本岗位工作配合产品改进游戏体验；应聘简历务必附作品。,负责场景的设计、和物件拆分；负责宣传图气氛、构图的设计；负责优化宣传素材；负责外包资源的审核修改，对外包资源进行审核修改，统一风格，并提高外包的制作品质。,2019-01-12
